iterations,train_losses,test_losses
0,4.288028717041016,4.285515308380127
100,2.2061617374420166,2.224630117416382
199,1.728121995925903,1.7915711402893066
200,1.72637677192688,1.7916769981384275
300,1.5363432168960571,1.6304835081100464
399,1.398337960243225,1.5284881591796875
400,1.3910620212554932,1.5248527526855469
500,1.2996615171432495,1.4574990272521973
599,1.2185471057891846,1.4163808822631836
600,1.2196993827819824,1.4191092252731323
700,1.1634608507156372,1.3874942064285278
800,1.103274703025818,1.3728766441345217
900,1.0495105981826782,1.352372407913208
1000,0.9952378869056702,1.3544049263000488
1100,0.9466773867607116,1.341130256652832
1200,0.8977933526039124,1.3656617403030396
1300,0.85064297914505,1.3778128623962402
1400,0.8080120086669922,1.386942744255066
1500,0.7589898109436035,1.4287514686584473
1599,0.7173968553543091,1.4382033348083496
1600,0.7179211378097534,1.4470129013061523
1700,0.6673387885093689,1.457058668136597
1800,0.6256797909736633,1.5000309944152832
1900,0.5903114676475525,1.5238709449768066
2000,0.5491893291473389,1.558587908744812
2100,0.5098763108253479,1.5992916822433472
2200,0.4818092286586761,1.6243892908096311
2300,0.446402907371521,1.6669590473175049
2400,0.4244223833084106,1.7221893072128296
2500,0.3969221115112304,1.762698769569397
2599,0.37062668800354,1.8048598766326904
2600,0.3721208274364471,1.784143328666687
2700,0.3445362448692322,1.842189908027649
2800,0.3307632803916931,1.8511319160461424
2900,0.3114513456821441,1.913214087486267
3000,0.2983537018299103,1.9474835395812988
3100,0.2855518162250519,1.991578221321106
3200,0.2762364149093628,2.015321731567383
3300,0.2678093016147613,2.041963577270508
3400,0.2572232782840729,2.084474802017212
3500,0.2496723979711532,2.1378087997436523
3599,0.2431223690509796,2.1853814125061035
3600,0.2432394474744796,2.183196544647217
3700,0.2396166622638702,2.195500135421753
3800,0.2341621220111847,2.218256711959839
3900,0.2291582226753235,2.2651517391204834
4000,0.2270992845296859,2.299203872680664
4100,0.2218445986509323,2.2994065284729004
4200,0.2187134176492691,2.3729043006896973
4300,0.2182685285806656,2.3335297107696533
4400,0.2163088470697403,2.36088490486145
4500,0.2130264341831207,2.4035069942474365
4599,0.2098212093114853,2.4249508380889893
4600,0.2097991555929184,2.4514384269714355
4700,0.2080715745687484,2.468236923217773
4800,0.2073049396276474,2.4801278114318848
4900,0.2050294429063797,2.507878065109253
5000,0.2049344629049301,2.508452177047729
5100,0.2024198323488235,2.524949550628662
5200,0.2017233669757843,2.537332534790039
5300,0.2002491056919098,2.5992190837860107
5400,0.1996442228555679,2.5809333324432373
5500,0.1978488862514495,2.6066062450408936
5599,0.1960367560386657,2.6439032554626465
5600,0.1955542117357254,2.6331961154937744
5700,0.19721074402332306,2.6441152095794678
5800,0.19514623284339905,2.6091413497924805
5900,0.19449268281459808,2.6267664432525635
6000,0.19469180703163147,2.679530143737793
6100,0.1944902539253235,2.690645694732666
6200,0.19299593567848206,2.7000157833099365
6300,0.19227717816829681,2.6777477264404297
6400,0.19161038100719452,2.714674711227417
6500,0.1904674917459488,2.7548139095306396
6599,0.18991471827030182,2.748889446258545
